t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor
216654.4677,0,1512.00,0.00,1512.00,0.00,,0,17.66,78.14,1,fingertip
216654.5010,0,1512.00,0.00,1512.00,0.00,,0,13.85,74.62,1,fingertip
216654.5344,0,1512.00,0.00,1512.00,0.00,,0,18.84,77.76,1,fingertip
216654.5677,0,1512.00,0.00,1512.00,0.00,,0,21.75,80.78,1,fingertip
216654.6011,0,1512.00,0.00,1512.00,0.00,,0,22.06,78.23,1,fingertip
216654.6344,0,1512.00,0.00,1512.00,0.00,,0,25.87,81.97,1,fingertip
216654.6678,0,1512.00,0.00,1512.00,0.00,,0,30.15,85.99,1,fingertip
216654.7011,0,1512.00,0.00,1512.00,0.00,,0,9.00,67.62,1,fingertip
216654.7345,0,1512.00,0.00,1512.00,0.00,,0,22.47,80.47,1,fingertip
216654.7678,0,1512.00,0.00,1512.00,0.00,,0,15.54,74.03,1,fingertip
216654.8012,0,1512.00,0.00,1512.00,0.00,,0,21.40,77.30,1,fingertip
216654.8345,0,1512.00,0.00,1512.00,0.00,,0,18.70,74.50,1,fingertip
216654.8679,0,1512.00,0.00,1512.00,0.00,,0,25.78,82.48,1,fingertip
216654.9012,0,1512.00,0.00,1512.00,0.00,,0,14.48,68.40,1,fingertip
216654.9346,0,1512.00,0.00,1512.00,0.00,,0,24.77,80.30,1,fingertip
216654.9679,0,1512.00,0.00,1512.00,0.00,,0,32.36,85.68,1,fingertip
216655.0013,0,1512.00,0.00,1512.00,0.00,,0,9.49,69.60,1,fingertip
216655.0346,0,1512.00,0.00,1512.00,0.00,,0,20.03,81.64,1,fingertip
216655.0680,0,1512.00,0.00,1512.00,0.00,,0,11.84,69.09,1,fingertip
216655.1013,0,1512.00,0.00,1512.00,0.00,,0,25.98,81.92,1,fingertip
216655.1347,0,1512.00,0.00,1512.00,0.00,,0,14.26,68.61,1,fingertip
216655.1680,0,1512.00,0.00,1512.00,0.00,,0,28.40,83.44,1,fingertip
216655.2014,0,1512.00,0.00,1512.00,0.00,,0,25.40,81.79,1,fingertip
216655.2347,0,1512.00,0.00,1512.00,0.00,,0,15.39,75.42,1,fingertip
216655.2681,0,1512.00,0.00,1512.00,0.00,,0,19.64,78.43,1,fingertip
216655.3014,0,1512.00,0.00,1512.00,0.00,,0,15.68,74.48,1,fingertip
216655.3348,0,1512.00,0.00,1512.00,0.00,,0,27.95,89.33,1,fingertip
216655.3681,0,1512.00,0.00,1512.00,0.00,,0,12.34,74.86,1,fingertip
216655.4015,0,1512.00,0.00,1512.00,0.00,,0,19.39,84.78,1,fingertip
