t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode,cam_x,cam_y,sensitivity
218109.3464,0,756.00,491.00,756.00,491.00,,0,22.90,148.23,1,palm,direct,-1.0000,-1.0000,high
218109.3798,0,756.00,491.00,756.00,491.00,,0,21.28,149.52,1,palm,direct,-1.0000,-1.0000,high
218109.4131,0,756.00,491.00,756.00,491.00,,0,22.45,154.88,1,palm,direct,-1.0000,-1.0000,high
218109.4465,0,756.00,491.00,756.00,491.00,,0,18.45,141.18,1,palm,direct,-1.0000,-1.0000,high
218109.4798,0,756.00,491.00,756.00,491.00,,0,15.17,141.37,1,palm,direct,-1.0000,-1.0000,high
218109.5132,0,756.00,491.00,756.00,491.00,,0,19.08,142.80,1,palm,direct,-1.0000,-1.0000,high
218109.5465,0,756.00,491.00,756.00,491.00,,0,25.21,153.19,1,palm,direct,-1.0000,-1.0000,high
218109.5799,0,756.00,491.00,756.00,491.00,,0,20.00,152.45,1,palm,direct,-1.0000,-1.0000,high
218109.6132,0,756.00,491.00,756.00,491.00,,0,25.54,147.29,1,palm,direct,-1.0000,-1.0000,high
218109.6466,0,756.00,491.00,756.00,491.00,,0,18.47,151.22,1,palm,direct,-1.0000,-1.0000,high
218109.6799,0,756.00,491.00,756.00,491.00,,0,25.05,145.19,1,palm,direct,-1.0000,-1.0000,high
218109.7133,0,756.00,491.00,756.00,491.00,,0,20.13,144.00,1,palm,direct,-1.0000,-1.0000,high
218109.7466,0,756.00,491.00,756.00,491.00,,0,28.98,146.34,1,palm,direct,-1.0000,-1.0000,high
218109.7800,0,756.00,491.00,756.00,491.00,,0,26.20,147.14,1,palm,direct,-1.0000,-1.0000,high
218109.8133,0,756.00,491.00,756.00,491.00,,0,23.38,142.36,1,palm,direct,-1.0000,-1.0000,high
218109.8467,0,756.00,491.00,756.00,491.00,,0,22.22,147.68,1,palm,direct,-1.0000,-1.0000,high
218109.8800,0,756.00,491.00,756.00,491.00,,0,24.64,146.57,1,palm,direct,-1.0000,-1.0000,high
218109.9134,0,756.00,491.00,756.00,491.00,,0,19.12,147.68,1,palm,direct,-1.0000,-1.0000,high
218109.9467,0,756.00,491.00,756.00,491.00,,0,22.50,151.02,1,palm,direct,-1.0000,-1.0000,high
218109.9801,0,756.00,491.00,756.00,491.00,,0,26.97,157.02,1,palm,direct,-1.0000,-1.0000,high
218110.0134,0,756.00,491.00,756.00,491.00,,0,14.21,146.50,1,palm,direct,-1.0000,-1.0000,high
218110.0468,0,756.00,491.00,756.00,491.00,,0,24.74,149.20,1,palm,direct,-1.0000,-1.0000,high
218110.0801,0,756.00,491.00,756.00,491.00,,0,15.56,143.74,1,palm,direct,-1.0000,-1.0000,high
218110.1135,0,756.00,491.00,756.00,491.00,,0,22.41,148.11,1,palm,direct,-1.0000,-1.0000,high
218110.1468,0,756.00,491.00,756.00,491.00,,0,17.52,146.67,1,palm,direct,-1.0000,-1.0000,high
218110.1802,0,756.00,491.00,756.00,491.00,,0,26.19,152.42,1,palm,direct,-1.0000,-1.0000,high
218110.2135,0,756.00,491.00,756.00,491.00,,0,14.77,143.85,1,palm,direct,-1.0000,-1.0000,high
218110.2469,0,756.00,491.00,756.00,491.00,,0,23.51,146.80,1,palm,direct,-1.0000,-1.0000,high
218110.2802,0,756.00,491.00,756.00,491.00,,0,50.39,179.82,1,palm,direct,-1.0000,-1.0000,high
218110.3136,0,756.00,491.00,756.00,491.00,,0,31.61,178.34,1,palm,direct,-1.0000,-1.0000,high
218110.3469,0,756.00,491.00,756.00,491.00,,0,41.02,186.15,1,palm,direct,-1.0000,-1.0000,high
218110.3803,0,756.00,491.00,756.00,491.00,,0,35.05,188.24,1,palm,direct,-1.0000,-1.0000,high
218110.4136,0,756.00,491.00,756.00,491.00,,0,23.48,178.50,1,palm,direct,-1.0000,-1.0000,high
218110.4470,0,756.00,491.00,756.00,491.00,,0,18.32,164.24,1,palm,direct,-1.0000,-1.0000,high
218110.4803,0,756.00,491.00,756.00,491.00,,0,25.05,156.05,1,palm,direct,-1.0000,-1.0000,high
218110.5137,0,756.00,491.00,756.00,491.00,,0,21.49,144.33,1,palm,direct,-1.0000,-1.0000,high
218110.5470,0,756.00,491.00,756.00,491.00,,0,18.85,145.27,1,palm,direct,-1.0000,-1.0000,high
218110.5804,0,756.00,491.00,756.00,491.00,,0,27.45,150.00,1,palm,direct,-1.0000,-1.0000,high
218110.6137,0,756.00,491.00,756.00,491.00,,0,22.40,148.63,1,palm,direct,-1.0000,-1.0000,high
218110.6471,0,756.00,491.00,756.00,491.00,,0,23.00,152.58,1,palm,direct,-1.0000,-1.0000,high
218110.6804,0,756.00,491.00,756.00,491.00,,0,44.49,175.04,1,palm,direct,-1.0000,-1.0000,high
218110.7138,0,756.00,491.00,756.00,491.00,,0,11.58,153.81,1,palm,direct,-1.0000,-1.0000,high
218110.7471,0,756.00,491.00,756.00,491.00,,0,25.38,148.93,1,palm,direct,-1.0000,-1.0000,high
218110.7805,0,756.00,491.00,756.00,491.00,,0,24.48,152.64,1,palm,direct,-1.0000,-1.0000,high
218110.8138,0,756.00,491.00,756.00,491.00,,0,19.18,140.94,1,palm,direct,-1.0000,-1.0000,high
218110.8472,0,756.00,491.00,756.00,491.00,,0,20.82,141.47,1,palm,direct,-1.0000,-1.0000,high
218110.8805,0,756.00,491.00,756.00,491.00,,0,32.55,157.19,1,palm,direct,-1.0000,-1.0000,high
218110.9139,0,756.00,491.00,756.00,491.00,,0,30.57,156.27,1,palm,direct,-1.0000,-1.0000,high
218110.9472,0,756.00,491.00,756.00,491.00,,0,24.93,148.04,1,palm,direct,-1.0000,-1.0000,high
218110.9806,0,756.00,491.00,756.00,491.00,,0,31.11,149.59,1,palm,direct,-1.0000,-1.0000,high
218111.0139,0,756.00,491.00,756.00,491.00,,0,21.64,146.11,1,palm,direct,-1.0000,-1.0000,high
218111.0473,0,756.00,491.00,756.00,491.00,,0,17.51,144.98,1,palm,direct,-1.0000,-1.0000,high
218111.0806,0,756.00,491.00,756.00,491.00,,0,33.60,147.35,1,palm,direct,-1.0000,-1.0000,high
218111.1140,0,756.00,491.00,756.00,491.00,,0,9.25,126.27,1,palm,direct,-1.0000,-1.0000,high
218111.1473,0,756.00,491.00,756.00,491.00,,0,30.78,145.33,1,palm,direct,-1.0000,-1.0000,high
218111.1807,0,756.00,491.00,756.00,491.00,,0,17.13,139.85,1,palm,direct,-1.0000,-1.0000,high
218111.2140,0,756.00,491.00,756.00,491.00,,0,38.59,152.80,1,palm,direct,-1.0000,-1.0000,high
